cone	scoria	1	the mare lava flows are associated with a number of volcanic vents , in the form of domes and scoria cones	cône	scorie	1	les cônes de scories ici , au piton de la fournaise , île de la réunion s édifient à partir des fontaines de lave
cone	scoria	2	strombolian pyroclastic activity began at the site the following day and by the end of the day it generated a 40-m-high scoria cone	cône	scorie	2	ainsi , entre -100 000 ans et -8 000 ans , quelques dizaines de cônes de scories entourés de leurs coulées se sont construits
cone	scoria	3	two end-member genetic types of airfall deposits are recognize : scoria-fall deposits -- these are derived from strombolian eruptions of scoria cones	cône	scorie	3	80 d entre eux sont des cônes de scories de type strombolien résultant chacun d une éruption unique édifices monogéniques
cone	scoria	4	typically , these eruptions form scoria cones composed of basaltic pryoclasts	cône	scorie	4	ici le cône de scories du pariou , vieux de 9 000 ans , édifié en quelques mois d éruption
cone	scoria	5	many inactive scoria cones , on the other hand , may be viewed as extinct shortly after they erupt , because such volcanoes are typically monogenetic and only erupt once	cône	scorie	5	effondrements intra-cratériques effusions cône adventif conduit d alimentation cheminée dispersion par le vent trajectoires paraboliques bombes faciès cœur de cône scories rouges faciès bas de cône scories noires pluie de cendres et lapilli éboulements retombées aériennes = saupoudrage figure 9.8 principaux types d édifices volcaniques
cone	scoria	6	scoria cones are composed almost wholly of ejected basaltic tephra	cône	scorie	6	exploitation de la pouzzolane du volcan de lemptegy spatter cone , cône de scories soudées
cone	scoria	7	unlike the other two main volcano types , scoria cones have straight sides and very large summit craters , with respect to their relatively small edifices	cône	scorie	7	on aperçoit au fond un petit cône de scories ; la terrasse , qui surplombe en arrière-plan , est le reste d un ancien niveau du plancher du cratère
cone	scoria	8	the form and composition of the three main volcano types are summarized her : volcano typ : scoria cone , shield volcano , stratovolcano eruption type : strombolian , hawaiian , plinian	cône	scorie		
cone	scoria	9	scoria cones are generated by strombolian eruptions , which produce eruptive columns of basalt tephra generally only a few hundred meters high	cône	scorie		
cone	scoria	10	lava flows , for example , are more common in relatively non-explosive basaltic eruptions associated with sheild volcanoes , scoria cones , and fissures	cône	scorie		
cone	scoria	11	where scoria cones have been breached , they typically reveal red-oxidized interiors	cône	scorie		
cone	scoria	12	basaltic lava flows erupt primarily from shield volcanoes , fissure systems , and scoria cones	cône	scorie		
cone	scoria	13	scoria cones	cône	scorie		
cone	scoria	14	many scoria cones are monogenetic in that they only erupt once , in contrast to shield volcanoes and stratovolcanoes	cône	scorie		
cone	scoria	15	an exception is the cerro negro volcano in nicaragua , which is the earth s most historically active scoria cone	cône	scorie		
cone	scoria	16	scoria cones , also known as cinder cones , are the most common type of volcano	cône	scorie		
cone	scoria	17	the edifice has very steep slopes , up to 35 degrees , although older eroded scoria cones typically have gentler slopes , from 15 to 20 degrees	cône	scorie		
cone	scoria	18	pyroclastic deposits are minor < 1% and of limited dispersal , generally from flank eruptions associated with parasitic scoria cones , or from rare , localized hydrovolcanic eruptions	cône	scorie		
cone	scoria	19	the final height of the scoria cone was 424 m	cône	scorie		
cone	scoria	20	the lunar scoria cones are similar in size to terrestrial scoria cones , and they appear to be associated with older fissure systems	cône	scorie		
cone	background	1	the puu oo cone is in the background	cône	arrière-plan	1	sur la page centrale , on voit deux adolescentes admirant les parois d un cratère et , en arrière-plan , un cône volcanique en pleine éruption avec une belle giclée de lave vermillon dont la charge symbolique n a rien d ambigu
cone	background	1	the puu oo cone is in the background	cône	formation	1	durant la première moitié du xixè siècle surgit une nouvelle controverse concernant , cette fois , la formation des cônes volcaniques
cone	background			cône	formation	2	volcanologue observant la formation d un cône lors d une éruption du piton de la fournaise mars 1998 , formation du piton kapor
cone	background			cône	formation	3	c : émersion , formation d un cône terminal et émission de coulées
crater	rim	1	information and pictures will be sent through an umbilical cord to the crater rim , and then by satellite to goddard	cratère	bord	1	les bornes de béton que vous croiserez sur les bords du cratère sont autant de points fixes , enfoncés très profondément dans le sol , qui permettent aux spécialistes de mesurer régulièrement les moindres mouvements du volcan
crater	rim	2	as they were winding up their studies on the floor and rim of the crater , the release of pent-up gas pressure inside the volcano ripped apart a dome that had plugged the vent	cratère	bord	2	assis au bord du cratère du pariou , nous imaginions ensemble ce qui avait du se passer il y a 8 000 ans environ
crater	rim	3	after paying a fee of $5 us per car , you enter the park and make a quick right turn on to crater rim drive , which takes you to the visitors centre	cratère	bord	3	au bromo en indonésie , des offrandes fleurs , soie , nourriture , pièces de monnaie à brahma sont déposées au bord du cratère ou jetées dans celui-ci ; des prêtres , suivis des fidèles , doivent faire , de nuit , trois fois le tour du cratère pour assurer une nouvelle année sans éruptions
crater	rim	4	from the crater rim the view is astonishing	cratère	bord	4	lac nyos cameroun de notre envoyé spécial vue des bords du cratère , la tête du puits apparaît comme une tête d épingle au milieu du lac
crater	rim	5	in september the lava pond in puu oo was only 50 feet 15 m across and at a depth of about 325 feet 100 m below the rim of the crater	cratère	bord	5	cette station laser automatique mesure une fois par minute la distance entre les deux bords du cratère principal du piton de la fournaise à 5 millimètres près
crater	rim	6	the distance between the lake surface and the lowest point on the crater rim , known as the freeboard , has shrunk from 8.3 metres 27ft to 4.5 metres in the last two months , according to the oxfam team s senior geologist , professor kelvin rodolfo	cratère	bord	6	un extensomètre mesure l écartement des deux lèvres d une faille dans le cratère principal du volcan , tandis qu un distancemètre automatique relève à chaque minute la distance entre les deux bords du cratère principal , soit 697 mètres , avec une précision de quelques millimètres
crater	rim	7	but instead , in an attempt to retain a modicum of control over the expected avalanche of water , mud and rocks , the authorities in the municipality of botolan are having to breach the crater rim on thursday morning	cratère	bord	7	nous arrivons au bord du cratère actif , béant
crater	rim	8	check out the volcano displays and watch the short film on eruptions before setting out to circle the kilauea caldera on the 12-kilometre crater rim drive loop road	cratère	bord	8	une façon de prendre le pouls du colosse au bord du cratère du vulcano îles eoliennes , un chercheur mesure à distance la température d une fumerolle à l aide d un pistolet à infrarouges
crater	rim	9	officially it is forbidden to stay overnigh : people tend to fall asleep up there and , dreaming of primeval urges , roman gods at their forges or whatever else takes their fancy , they roll over the rim and into the crater where they are consumed by the burning heart of the volcano , the latest offering in some age-old rite	cratère	bord	9	mais le bord du cratère est parcouru de vents contraires qui ont rapidement raison des flammes
crater	rim	10	the lack of lava or pyroclastic material on the rim of the craters indicates that they are not formed by eruptions	cratère	bord	10	au début d avril 1906 , le panache de vapeur qui sortait constamment du cratère s accrut ; en même temps , des secousses sismiques , des grondements souterrains , de petites explosions qui firent sauter le bord du cratère constituèrent la phase préliminaire
crater	rim	11	although large eruptions and lava flows are uncommon , smaller eruptions occur very frequently and often hurl blobs of lava above the crater rim	cratère	bord	11	certes , des prélèvements inédits de gaz , de chlore , de métaux lourds qui vont être analysés à grenoble ont été effectués au bord du cratère , et la mission est revenue riche d expériences océanographiques
crater	rim	12	a few brave souls had even stolen to the rim of the crater , peered in , and seen the monsters lair	cratère	bord	12	pour parer à toute éventualité , des abris antibombes ont été construits sur le bord du cratère , rempli d acide chaud
